date,hour,people,level
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,13,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,14,5,busy
2026-06-12,15,5,busy
2026-06-12,15,5,busy
2026-06-12,15,5,busy
2026-06-12,15:30,0,free
2026-06-12,15:45,0,free
2026-06-12,16:45,0,free
2026-06-12,17:00,0,free
